AÑO,"MES","DEPARTAMENTO ","LUGAR DEL HECHO","ARMA EMPLEADA",EDAD DE LA VÍCTIMA,"SEXO DEL AUTOR 1","SEXO DEL AUTOR 2","EDAD DEL AUTOR 1","EDAD DEL AUTOR 2","VÍNCULO"
2021,"JULIO","ARTIGAS","VÍA PÚBLICA","ARMA DE FUEGO",35,"VARÓN","N/A","49","NULL","PAREJA / EXPAREJA"
2021,"AGOSTO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",18,"VARÓN","N/A","17","NULL","PAREJA / EXPAREJA"
2021,"AGOSTO","PAYSANDÚ","RESIDENCIA","ARMA DE FUEGO",16,"VARÓN","N/A","21","NULL","PAREJA / EXPAREJA"
2021,"AGOSTO","LAVALLEJA","RESIDENCIA","FUERZA FÍSICA",83,"VARÓN","N/A","67","NULL","PAREJA / EXPAREJA"
2021,"SEPTIEMBRE","PAYSANDÚ","RESIDENCIA","SIN DATO",82,"VARÓN","N/A","24","NULL","FAMILIAR"
2021,"SEPTIEMBRE","MALDONADO","RESIDENCIA","OBJETO PESADO",19,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2021,"SEPTIEMBRE","CANELONES","RESIDENCIA","SIN DATO",34,"VARÓN","N/A","39","NULL","PAREJA / EXPAREJA"
2021,"OCTUBRE","RIVERA","RESIDENCIA","ARMA DE FUEGO",30,"VARÓN","N/A","26","NULL","FAMILIAR"
2021,"OCTUBRE","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",43,"VARÓN","N/A","38","NULL","AFECTIVO / SEXUAL"
2021,"OCTUBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",43,"VARÓN","N/A","20","NULL","FAMILIAR"
2021,"OCTUBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",29,"VARÓN","N/A","43","NULL","PAREJA / EXPAREJA"
2021,"OCTUBRE","SALTO","RESIDENCIA","FUERZA FÍSICA",19,"VARÓN","N/A","24","NULL","PAREJA / EXPAREJA"
2021,"NOVIEMBRE","RIVERA","RESIDENCIA","FUERZA FÍSICA",31,"VARÓN","N/A","55","NULL","PAREJA / EXPAREJA"
2021,"NOVIEMBRE","PAYSANDÚ","RESIDENCIA","ARMA CORTOPUNZANTE",66,"VARÓN","N/A","82","NULL","PAREJA / EXPAREJA"
2021,"NOVIEMBRE","CANELONES","RESIDENCIA","ARMA DE FUEGO",59,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
2022,"ENERO","ARTIGAS","VÍA PÚBLICA","ARMA DE FUEGO",26,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2022,"ENERO","ARTIGAS","RESIDENCIA","ARMA CORTOPUNZANTE",47,"VARÓN","N/A","64","NULL","PAREJA / EXPAREJA"
2022,"ENERO","FLORES","RESIDENCIA","ARMA CORTOPUNZANTE",34,"VARÓN","MUJER","20","28","FAMILIAR"
2022,"FEBRERO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",77,"VARÓN","N/A","54","NULL","FAMILIAR"
2022,"MARZO","MONTEVIDEO","RESIDENCIA","OBJETO PESADO",80,"VARÓN","N/A","26","NULL","FAMILIAR"
2022,"MARZO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",64,"VARÓN","N/A","35","NULL","FAMILIAR"
2022,"MARZO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",61,"VARÓN","N/A","35","NULL","FAMILIAR"
2022,"ABRIL","CANELONES","RESIDENCIA","ARMA DE FUEGO",68,"VARÓN","N/A","73","NULL","PAREJA / EXPAREJA"
2022,"ABRIL","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",7,"VARÓN","N/A","48","NULL","FAMILIAR"
2022,"MAYO","DURAZNO","OTRO","ARMA CORTOPUNZANTE",41,"VARÓN","N/A","42","NULL","PAREJA / EXPAREJA"
2022,"MAYO","RIVERA","OTRO","ARMA DE FUEGO",37,"VARÓN","N/A","45","NULL","PAREJA / EXPAREJA"
2022,"MAYO","PAYSANDÚ","RESIDENCIA","FUERZA FÍSICA",20,"VARÓN","N/A","46","NULL","FAMILIAR"
2022,"MAYO","ARTIGAS","RESIDENCIA","OBJETO PESADO",38,"VARÓN","N/A","36","NULL","PAREJA / EXPAREJA"
2022,"MAYO","MONTEVIDEO","RESIDENCIA","OTROS MEDIOS",29,"VARÓN","N/A","33","NULL","PAREJA / EXPAREJA"
2022,"MAYO","MONTEVIDEO","RESIDENCIA","OTROS MEDIOS",1,"VARÓN","N/A","33","NULL","FAMILIAR"
2022,"JUNIO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",34,"VARÓN","N/A","44","NULL","PAREJA / EXPAREJA"
2022,"JULIO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",26,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2022,"JULIO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",3,"VARÓN","N/A","25","NULL","FAMILIAR"
2022,"AGOSTO","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",31,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2022,"AGOSTO","SALTO","VÍA PÚBLICA","ARMA DE FUEGO",40,"VARÓN","N/A","56","NULL","PAREJA / EXPAREJA"
2022,"AGOSTO","PAYSANDÚ","RESIDENCIA","FUERZA FÍSICA",33,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2022,"AGOSTO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",28,"VARÓN","N/A","32","NULL","PAREJA / EXPAREJA"
2022,"SEPTIEMBRE","SAN JOSÉ","VÍA PÚBLICA","ARMA CORTOPUNZANTE",50,"VARÓN","N/A","65","NULL","PAREJA / EXPAREJA"
2022,"SEPTIEMBRE","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",38,"VARÓN","N/A","18","NULL","PAREJA / EXPAREJA"
2022,"OCTUBRE","SALTO","RESIDENCIA","SIN DATO",7,"VARÓN","N/A","43","NULL","FAMILIAR"
2022,"NOVIEMBRE","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",61,"VARÓN","N/A","40","NULL","FAMILIAR"
2022,"NOVIEMBRE","SALTO","RESIDENCIA","SIN DATO",68,"VARÓN","N/A","70","NULL","PAREJA / EXPAREJA"
2022,"NOVIEMBRE","ROCHA","RESIDENCIA","OBJETO PESADO",29,"VARÓN","N/A","35","NULL","PAREJA / EXPAREJA"
2022,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","SIN DATO",38,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2022,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",33,"VARÓN","MUJER","44","52","PAREJA / EXPAREJA"
